order_id,user_id,restaurant_id,timestamp,amount,rating,items_count
FO000000,U0364,R0128,2025-12-08T20:36:00,357.0,0,5
FO000001,U0247,R0180,2026-01-03T19:44:00,156.0,5,5
FO000002,U0439,R0192,2025-12-11T11:33:00,723.0,0,2
FO000003,U0241,R0161,2026-03-19T10:43:00,544.0,5,5
FO000004,U0159,R0156,2025-10-14T08:30:00,418.0,4,5
FO000005,U0375,R0084,2026-01-16T13:18:00,217.0,5,5
FO000006,U0383,R0077,2026-02-22T21:30:00,505.0,4,1
FO000007,U0336,R0074,2026-03-09T19:05:00,189.0,0,3
FO000008,U0129,R0033,2026-03-07T13:00:00,619.0,4,2
FO000009,U0465,R0151,2025-11-08T13:51:00,223.0,5,2
FO000010,U0248,R0046,2026-02-13T18:05:00,777.0,4,2
FO000011,U0428,R0126,2026-01-14T15:42:00,408.0,5,2
FO000012,U0107,R0147,2025-12-28T13:48:00,674.0,0,2
FO000013,U0237,R0102,2026-01-30T21:48:00,746.0,0,4
FO000014,U0349,R0180,2026-01-08T12:33:00,709.0,0,3
FO000015,U0474,R0114,2026-01-06T20:43:00,769.0,0,5
FO000016,U0326,R0090,2026-01-19T21:54:00,291.0,3,3
FO000017,U0410,R0025,2025-12-05T19:29:00,641.0,5,2
FO000018,U0375,R0172,2026-02-28T18:43:00,583.0,0,3
FO000019,U0280,R0002,2026-03-22T11:00:00,388.0,4,1
FO000020,U0350,R0114,2025-12-29T13:16:00,235.0,0,5
FO000021,U0047,R0014,2026-03-02T12:38:00,547.0,5,1
FO000022,U0044,R0154,2025-11-03T21:36:00,662.0,0,1
FO000023,U0356,R0047,2025-12-04T21:59:00,153.0,4,3
FO000024,U0393,R0109,2026-03-27T18:16:00,213.0,0,3
FO000025,U0397,R0015,2026-01-06T11:16:00,769.0,3,2
FO000026,U0225,R0017,2026-02-03T14:39:00,375.0,5,4
FO000027,U0055,R0036,2026-02-16T14:39:00,550.0,4,3
FO000028,U0052,R0008,2025-10-19T21:16:00,644.0,0,4
FO000029,U0076,R0167,2026-03-13T11:42:00,373.0,0,3
FO000030,U0463,R0100,2026-02-25T21:49:00,443.0,4,4
FO000031,U0432,R0186,2025-10-18T11:24:00,768.0,5,4
FO000032,U0062,R0145,2026-02-15T19:21:00,577.0,4,1
FO000033,U0323,R0165,2025-10-24T13:05:00,689.0,5,3
FO000034,U0331,R0051,2025-11-15T19:42:00,234.0,5,4
FO000035,U0458,R0027,2026-03-11T19:05:00,720.0,4,2
FO000036,U0071,R0009,2025-11-19T20:15:00,442.0,0,5
FO000037,U0329,R0078,2026-02-05T19:01:00,126.0,0,3
FO000038,U0403,R0184,2025-10-11T12:51:00,558.0,4,4
FO000039,U0481,R0173,2026-02-15T20:14:00,747.0,0,2
FO000040,U0250,R0167,2025-10-05T20:02:00,270.0,5,2
FO000041,U0007,R0044,2026-03-11T13:52:00,656.0,4,5
FO000042,U0087,R0151,2025-10-17T11:07:00,448.0,5,5
FO000043,U0112,R0016,2025-11-21T21:43:00,381.0,0,5
FO000044,U0279,R0035,2025-12-22T14:48:00,132.0,0,3
FO000045,U0032,R0030,2025-12-10T19:10:00,587.0,4,2
FO000046,U0224,R0062,2026-02-26T11:50:00,693.0,4,4
FO000047,U0398,R0040,2025-10-05T10:00:00,105.0,0,5
FO000048,U0454,R0072,2026-01-15T19:44:00,189.0,0,3
FO000049,U0267,R0115,2026-01-14T12:39:00,584.0,4,2
FO000050,U0367,R0127,2026-03-06T17:22:00,393.0,4,2
FO000051,U0098,R0030,2026-02-13T19:55:00,633.0,4,5
FO000052,U0112,R0118,2026-03-10T13:03:00,236.0,5,2
FO000053,U0350,R0121,2026-02-05T21:59:00,130.0,5,3
FO000054,U0145,R0053,2026-01-20T20:51:00,723.0,4,1
FO000055,U0053,R0189,2025-10-14T13:10:00,650.0,4,5
FO000056,U0059,R0018,2025-11-30T18:26:00,239.0,5,3
FO000057,U0117,R0199,2025-10-29T11:15:00,616.0,5,2
FO000058,U0192,R0056,2025-10-19T19:03:00,723.0,0,2
FO000059,U0475,R0156,2026-01-25T13:08:00,420.0,0,3
FO000060,U0499,R0069,2025-11-21T11:44:00,498.0,3,2
FO000061,U0056,R0119,2026-01-26T13:14:00,720.0,4,2
FO000062,U0404,R0163,2026-03-06T15:05:00,388.0,4,4
FO000063,U0441,R0055,2026-03-01T19:17:00,110.0,4,2
FO000064,U0126,R0083,2026-01-20T20:09:00,740.0,0,4
FO000065,U0022,R0010,2026-01-29T09:27:00,472.0,4,1
FO000066,U0231,R0126,2025-12-01T11:44:00,612.0,0,2
FO000067,U0183,R0075,2025-12-01T11:01:00,436.0,3,2
FO000068,U0360,R0117,2026-02-24T08:29:00,425.0,0,4
FO000069,U0094,R0094,2026-03-10T21:00:00,702.0,0,4
FO000070,U0457,R0176,2025-12-25T13:27:00,627.0,5,5
FO000071,U0277,R0147,2025-11-23T10:39:00,717.0,5,1
FO000072,U0263,R0172,2026-01-02T11:24:00,356.0,4,1
FO000073,U0187,R0093,2025-11-14T21:04:00,493.0,5,2
FO000074,U0070,R0085,2025-12-01T21:30:00,616.0,5,5
FO000075,U0446,R0179,2025-11-23T15:20:00,347.0,3,5
FO000076,U0348,R0108,2025-12-10T13:22:00,417.0,4,5
FO000077,U0424,R0031,2026-01-29T17:28:00,535.0,5,1
FO000078,U0096,R0117,2025-10-23T12:18:00,771.0,0,1
FO000079,U0084,R0070,2025-10-29T19:09:00,712.0,4,1
FO000080,U0150,R0106,2026-03-24T12:30:00,343.0,4,1
FO000081,U0149,R0048,2025-10-17T12:53:00,763.0,5,3
FO000082,U0210,R0148,2025-12-27T13:31:00,515.0,5,5
FO000083,U0431,R0140,2026-01-22T20:08:00,729.0,3,2
FO000084,U0404,R0066,2025-11-28T13:49:00,692.0,0,3
FO000085,U0145,R0116,2025-11-12T12:45:00,475.0,0,2
FO000086,U0429,R0181,2026-03-27T12:10:00,267.0,0,3
FO000087,U0294,R0032,2026-01-21T12:13:00,494.0,0,3
FO000088,U0176,R0037,2026-01-04T12:34:00,311.0,0,4
FO000089,U0476,R0127,2025-11-07T18:09:00,103.0,5,5
FO000090,U0499,R0129,2025-12-24T13:30:00,727.0,5,5
FO000091,U0341,R0037,2026-02-22T22:21:00,582.0,5,4
FO000092,U0460,R0010,2025-11-05T11:19:00,117.0,4,2
FO000093,U0228,R0091,2025-10-24T20:41:00,237.0,4,2
FO000094,U0400,R0196,2025-12-11T11:34:00,695.0,5,1
FO000095,U0499,R0131,2026-01-09T13:38:00,524.0,0,3
FO000096,U0203,R0037,2026-01-18T13:00:00,299.0,3,3
FO000097,U0228,R0143,2025-10-23T19:47:00,795.0,5,4
FO000098,U0147,R0041,2026-01-17T21:08:00,685.0,4,1
FO000099,U0073,R0053,2025-12-17T20:21:00,146.0,4,4
FO000100,U0045,R0001,2026-01-13T13:26:00,222.0,4,5
FO000101,U0386,R0035,2025-11-21T19:18:00,488.0,0,3
FO000102,U0427,R0149,2025-12-17T21:29:00,257.0,5,1
FO000103,U0078,R0067,2025-12-16T23:07:00,558.0,3,4
FO000104,U0091,R0125,2026-03-26T11:07:00,635.0,4,1
FO000105,U0306,R0190,2026-01-01T20:27:00,708.0,5,4
FO000106,U0498,R0177,2025-10-31T21:36:00,112.0,3,2
FO000107,U0297,R0014,2025-11-07T21:08:00,350.0,0,3
FO000108,U0184,R0107,2026-03-12T19:03:00,303.0,4,1
FO000109,U0263,R0049,2026-03-10T11:38:00,627.0,4,3
FO000110,U0446,R0080,2026-03-25T16:43:00,589.0,3,1
FO000111,U0273,R0148,2025-12-30T08:08:00,463.0,3,4
FO000112,U0210,R0087,2025-11-11T12:32:00,255.0,0,5
FO000113,U0314,R0176,2026-02-12T11:26:00,422.0,0,1
FO000114,U0419,R0033,2025-10-05T13:44:00,354.0,5,4
FO000115,U0455,R0152,2026-02-11T18:11:00,597.0,0,1
FO000116,U0113,R0032,2026-03-27T12:19:00,188.0,0,1
FO000117,U0217,R0176,2025-10-29T19:48:00,402.0,0,1
FO000118,U0016,R0168,2026-02-09T19:07:00,736.0,0,1
FO000119,U0154,R0170,2025-10-03T11:58:00,521.0,4,2
FO000120,U0094,R0171,2025-12-29T12:54:00,622.0,3,5
FO000121,U0178,R0090,2025-11-11T15:32:00,499.0,0,5
FO000122,U0390,R0003,2026-02-13T12:18:00,220.0,5,5
FO000123,U0002,R0185,2025-10-26T23:23:00,589.0,0,4
FO000124,U0344,R0027,2025-11-16T20:27:00,250.0,0,4
FO000125,U0057,R0194,2025-12-20T11:33:00,195.0,5,3
FO000126,U0360,R0073,2026-02-20T10:20:00,446.0,4,3
FO000127,U0233,R0153,2025-12-19T19:14:00,488.0,3,4
FO000128,U0096,R0017,2026-01-30T19:11:00,109.0,5,4
FO000129,U0344,R0026,2026-01-10T21:43:00,160.0,0,4
FO000130,U0205,R0177,2026-03-01T13:04:00,355.0,0,3
FO000131,U0102,R0152,2026-01-12T19:46:00,449.0,5,5
