order_id,user_id,product_id,timestamp,quantity,amount
IO000000,U0334,P0336,2026-03-09T16:52:00,2,174.0
IO000001,U0137,P0369,2025-10-15T11:52:00,1,759.0
IO000002,U0444,P0011,2026-01-22T09:13:00,3,604.0
IO000003,U0390,P0483,2025-12-28T16:29:00,1,832.0
IO000004,U0117,P0056,2025-12-03T14:25:00,1,462.0
IO000005,U0210,P0139,2026-01-29T12:10:00,1,124.0
IO000006,U0047,P0011,2026-02-01T11:45:00,1,604.0
IO000007,U0292,P0038,2026-02-19T17:06:00,2,398.0
IO000008,U0060,P0156,2025-10-18T14:53:00,2,454.0
IO000009,U0112,P0349,2026-01-08T16:06:00,2,294.0
IO000010,U0465,P0134,2025-11-05T20:31:00,1,195.0
IO000011,U0025,P0032,2026-03-28T19:36:00,2,1242.0
IO000012,U0257,P0256,2026-03-16T16:20:00,2,802.0
IO000013,U0378,P0409,2026-02-04T12:45:00,3,87.0
IO000014,U0181,P0030,2025-10-07T09:41:00,1,249.0
IO000015,U0436,P0008,2026-01-13T20:04:00,2,405.0
IO000016,U0247,P0457,2026-01-10T20:38:00,3,149.0
IO000017,U0059,P0025,2026-03-24T12:50:00,3,369.0
IO000018,U0345,P0435,2025-12-27T21:09:00,3,391.0
IO000019,U0335,P0231,2025-10-26T11:11:00,3,180.0
IO000020,U0244,P0084,2025-11-29T16:42:00,3,374.0
IO000021,U0321,P0056,2025-11-24T08:44:00,3,462.0
IO000022,U0031,P0200,2026-03-01T12:13:00,1,668.0
IO000023,U0172,P0297,2025-12-24T13:57:00,2,381.0
IO000024,U0450,P0289,2025-10-16T18:03:00,1,609.0
IO000025,U0019,P0287,2025-11-07T17:12:00,2,127.0
IO000026,U0022,P0397,2025-10-19T15:48:00,3,182.0
IO000027,U0172,P0350,2025-11-27T13:23:00,1,522.0
IO000028,U0395,P0096,2026-01-05T19:57:00,2,658.0
IO000029,U0061,P0294,2026-01-01T09:33:00,2,265.0
IO000030,U0450,P0098,2026-02-22T13:40:00,2,658.0
IO000031,U0206,P0056,2025-10-27T16:03:00,1,462.0
IO000032,U0044,P0407,2026-03-21T11:36:00,2,495.0
IO000033,U0016,P0208,2026-02-03T09:39:00,2,768.0
IO000034,U0457,P0324,2025-10-14T16:56:00,3,197.0
IO000035,U0156,P0290,2026-01-11T09:38:00,3,102.0
IO000036,U0044,P0305,2026-02-01T13:33:00,1,532.0
IO000037,U0166,P0411,2025-10-01T15:22:00,2,281.0
IO000038,U0422,P0340,2026-02-05T08:41:00,1,326.0
IO000039,U0118,P0094,2026-02-07T20:51:00,1,306.0
IO000040,U0170,P0137,2026-01-07T13:54:00,3,543.0
IO000041,U0431,P0050,2026-03-15T16:30:00,1,830.0
IO000042,U0157,P0294,2025-12-19T15:37:00,3,265.0
IO000043,U0182,P0241,2025-12-30T16:02:00,1,638.0
IO000044,U0448,P0330,2025-12-06T09:14:00,3,590.0
IO000045,U0444,P0447,2026-01-23T10:40:00,1,1047.0
IO000046,U0157,P0348,2025-11-11T08:10:00,1,125.0
IO000047,U0038,P0004,2025-12-03T13:37:00,3,546.0
IO000048,U0380,P0051,2025-11-14T08:04:00,1,81.0
IO000049,U0181,P0065,2026-02-26T13:52:00,2,76.0
IO000050,U0378,P0282,2025-12-01T17:19:00,2,80.0
IO000051,U0034,P0085,2026-03-01T21:13:00,3,795.0
IO000052,U0132,P0479,2025-11-29T10:54:00,2,192.0
IO000053,U0296,P0450,2025-11-23T12:28:00,3,656.0
IO000054,U0435,P0294,2026-01-16T16:21:00,1,530.0
IO000055,U0497,P0045,2025-12-07T21:13:00,1,192.0
IO000056,U0464,P0453,2026-01-19T16:59:00,3,567.0
IO000057,U0005,P0112,2025-11-02T10:33:00,1,543.0
IO000058,U0276,P0475,2026-02-12T12:15:00,3,214.0
IO000059,U0357,P0407,2025-11-15T15:21:00,2,330.0
IO000060,U0138,P0404,2025-10-30T11:45:00,1,562.0
IO000061,U0051,P0329,2026-01-27T09:34:00,2,102.0
IO000062,U0270,P0173,2025-11-26T17:50:00,3,225.0
IO000063,U0483,P0248,2025-12-20T14:33:00,1,213.0
IO000064,U0398,P0116,2025-10-30T09:11:00,1,1422.0
IO000065,U0193,P0408,2026-03-05T13:05:00,2,460.0
IO000066,U0216,P0188,2026-03-19T12:47:00,2,32.0
IO000067,U0048,P0420,2026-03-23T13:08:00,2,915.0
IO000068,U0399,P0394,2026-02-14T14:43:00,1,720.0
IO000069,U0179,P0331,2026-01-29T19:15:00,1,1290.0
IO000070,U0103,P0237,2025-12-25T15:51:00,2,277.0
IO000071,U0098,P0089,2026-02-27T12:55:00,3,714.0
IO000072,U0171,P0082,2026-02-20T15:49:00,3,146.0
IO000073,U0332,P0125,2025-10-25T10:29:00,2,502.0
IO000074,U0014,P0336,2025-12-13T09:47:00,2,174.0
IO000075,U0312,P0048,2025-12-02T08:50:00,3,584.0
IO000076,U0123,P0076,2026-01-08T21:21:00,2,446.0
IO000077,U0499,P0022,2026-03-25T13:19:00,2,534.0
IO000078,U0003,P0406,2026-02-23T09:19:00,1,630.0
IO000079,U0346,P0406,2026-02-16T20:29:00,2,630.0
IO000080,U0066,P0039,2026-02-01T11:29:00,3,153.0
IO000081,U0456,P0257,2026-03-26T20:12:00,1,320.0
IO000082,U0446,P0476,2025-10-31T14:53:00,1,286.0
IO000083,U0442,P0100,2026-01-20T10:25:00,1,221.0
IO000084,U0347,P0090,2026-01-19T16:28:00,2,780.0
IO000085,U0245,P0329,2025-10-20T14:59:00,3,306.0
IO000086,U0462,P0322,2025-12-01T13:30:00,2,140.0
IO000087,U0324,P0408,2025-12-11T11:11:00,2,690.0
IO000088,U0179,P0182,2026-02-14T09:42:00,2,65.0
IO000089,U0282,P0025,2026-02-19T09:14:00,2,246.0
IO000090,U0470,P0113,2025-11-24T14:16:00,3,910.0
IO000091,U0356,P0291,2026-02-21T11:46:00,3,1260.0
IO000092,U0368,P0150,2025-11-06T08:23:00,3,1176.0
IO000093,U0121,P0412,2026-03-25T15:32:00,3,604.0
IO000094,U0121,P0091,2026-03-09T13:25:00,3,396.0
IO000095,U0351,P0271,2026-01-28T17:57:00,1,501.0
IO000096,U0005,P0047,2026-03-19T17:20:00,2,159.0
IO000097,U0281,P0174,2026-03-08T19:24:00,2,337.0
IO000098,U0103,P0168,2025-12-15T15:10:00,3,103.0
IO000099,U0308,P0024,2025-10-25T12:13:00,3,990.0
IO000100,U0448,P0033,2025-12-02T17:29:00,1,432.0
IO000101,U0023,P0228,2026-03-18T19:44:00,1,253.0
IO000102,U0407,P0154,2026-01-28T13:07:00,1,420.0
IO000103,U0392,P0236,2025-11-07T20:44:00,2,400.0
IO000104,U0131,P0494,2025-12-21T16:56:00,2,732.0
IO000105,U0180,P0179,2026-02-04T08:12:00,2,53.0
IO000106,U0236,P0231,2026-02-15T15:38:00,2,60.0
IO000107,U0097,P0321,2026-01-08T08:07:00,1,1368.0
IO000108,U0424,P0376,2026-01-25T21:45:00,3,260.0
IO000109,U0168,P0493,2026-02-21T14:15:00,2,873.0
IO000110,U0410,P0130,2026-02-22T16:07:00,2,66.0
IO000111,U0323,P0055,2026-01-02T11:01:00,3,210.0
IO000112,U0091,P0157,2026-03-17T15:35:00,3,286.0
IO000113,U0182,P0441,2025-11-27T11:30:00,2,276.0
IO000114,U0208,P0116,2026-02-09T09:31:00,2,948.0
IO000115,U0061,P0311,2026-02-17T14:30:00,1,304.0
IO000116,U0417,P0424,2026-01-29T08:06:00,3,266.0
IO000117,U0442,P0237,2026-01-16T09:37:00,2,831.0
IO000118,U0210,P0402,2025-10-22T17:09:00,3,942.0
IO000119,U0162,P0124,2026-01-20T12:44:00,1,1299.0
IO000120,U0221,P0009,2025-10-05T11:15:00,2,386.0
IO000121,U0042,P0278,2026-02-21T09:08:00,3,896.0
IO000122,U0267,P0238,2025-10-27T19:59:00,1,792.0
IO000123,U0157,P0274,2025-12-16T12:03:00,1,782.0
IO000124,U0454,P0079,2025-11-19T17:23:00,2,166.0
IO000125,U0224,P0162,2025-12-12T16:50:00,1,1323.0
IO000126,U0050,P0388,2025-10-02T09:48:00,3,141.0
IO000127,U0111,P0334,2025-11-16T21:17:00,1,93.0
IO000128,U0367,P0021,2025-11-29T18:24:00,1,714.0
IO000129,U0461,P0187,2026-01-15T15:28:00,2,724.0
IO000130,U0415,P0309,2026-02-14T10:41:00,2,1200.0
IO000131,U0300,P0057,2025-10-18T10:08:00,3,286.0
IO000132,U0203,P0444,2026-01-01T13:47:00,2,966.0
IO000133,U0400,P0342,2025-11-15T20:09:00,2,790.0
IO000134,U0297,P0357,2026-01-26T17:01:00,1,1029.0
IO000135,U0146,P0087,2025-12-16T14:35:00,3,297.0
IO000136,U0456,P0037,2026-02-24T20:55:00,3,185.0
IO000137,U0017,P0132,2026-01-12T09:53:00,1,24.0
IO000138,U0315,P0315,2026-02-04T16:06:00,1,1323.0
IO000139,U0077,P0279,2026-01-17T11:02:00,2,776.0
IO000140,U0307,P0105,2025-12-22T13:40:00,3,534.0
IO000141,U0074,P0189,2026-03-18T16:54:00,2,843.0
IO000142,U0133,P0297,2026-01-17T08:21:00,3,254.0
IO000143,U0153,P0436,2026-02-08T16:21:00,1,103.0
IO000144,U0020,P0367,2025-11-27T12:16:00,2,939.0
IO000145,U0379,P0207,2026-03-27T09:27:00,1,777.0
IO000146,U0165,P0452,2025-11-11T19:21:00,3,1113.0
IO000147,U0203,P0428,2026-03-13T12:48:00,3,48.0
IO000148,U0235,P0063,2025-10-31T08:53:00,2,518.0
IO000149,U0116,P0330,2026-03-04T21:09:00,2,885.0
IO000150,U0267,P0141,2026-03-03T15:14:00,3,720.0
IO000151,U0280,P0329,2026-01-18T16:37:00,1,102.0
IO000152,U0455,P0344,2025-11-27T13:47:00,2,488.0
IO000153,U0377,P0246,2026-02-15T09:59:00,2,82.0
IO000154,U0067,P0212,2026-03-05T13:26:00,3,379.0
IO000155,U0226,P0398,2025-12-13T14:18:00,1,360.0
IO000156,U0128,P0025,2025-12-06T20:08:00,3,246.0
IO000157,U0206,P0390,2025-11-29T12:24:00,2,1308.0
IO000158,U0302,P0119,2025-11-22T09:15:00,3,897.0
IO000159,U0094,P0144,2026-01-02T14:22:00,1,651.0
IO000160,U0250,P0055,2026-02-05T20:13:00,2,210.0
IO000161,U0266,P0204,2026-03-05T17:50:00,3,360.0
IO000162,U0298,P0075,2025-12-06T16:00:00,2,315.0
IO000163,U0215,P0297,2025-12-27T15:35:00,1,381.0
IO000164,U0128,P0394,2025-10-31T13:25:00,2,480.0
IO000165,U0401,P0318,2025-12-14T21:30:00,1,706.0
IO000166,U0383,P0278,2026-03-18T17:31:00,3,1344.0
IO000167,U0462,P0432,2025-11-24T21:43:00,2,360.0
IO000168,U0176,P0164,2026-03-29T15:48:00,2,147.0
IO000169,U0311,P0082,2025-12-03T20:37:00,1,146.0
IO000170,U0251,P0102,2025-12-10T16:33:00,3,686.0
IO000171,U0007,P0233,2026-02-18T12:18:00,2,242.0
IO000172,U0421,P0271,2026-03-05T16:08:00,1,334.0
IO000173,U0247,P0075,2025-11-09T15:04:00,1,315.0
IO000174,U0093,P0068,2025-12-25T14:39:00,1,285.0
IO000175,U0482,P0448,2025-12-23T09:32:00,2,408.0
IO000176,U0391,P0049,2026-02-22T18:21:00,3,570.0
IO000177,U0252,P0288,2026-02-01T14:45:00,3,72.0
IO000178,U0316,P0338,2025-10-19T19:55:00,1,466.0
IO000179,U0403,P0223,2026-01-11T21:00:00,2,1116.0
IO000180,U0139,P0213,2025-11-10T14:21:00,3,172.0
IO000181,U0198,P0257,2026-02-06T14:47:00,2,160.0
IO000182,U0455,P0368,2025-12-05T21:09:00,1,195.0
IO000183,U0003,P0320,2025-12-14T17:28:00,2,442.0
IO000184,U0292,P0245,2026-01-17T15:38:00,1,363.0
IO000185,U0367,P0153,2026-03-07T08:19:00,1,32.0
IO000186,U0084,P0458,2026-02-26T21:32:00,3,233.0
IO000187,U0221,P0333,2025-10-01T13:17:00,3,262.0
IO000188,U0162,P0147,2026-01-09T09:42:00,1,317.0
IO000189,U0437,P0212,2026-01-26T17:36:00,2,1137.0
IO000190,U0205,P0078,2026-02-16T18:45:00,2,900.0
IO000191,U0201,P0362,2025-11-14T17:33:00,1,104.0
IO000192,U0058,P0422,2026-03-26T14:03:00,1,94.0
IO000193,U0386,P0444,2025-11-24T18:34:00,3,966.0
IO000194,U0383,P0327,2025-11-11T12:15:00,3,867.0
IO000195,U0393,P0349,2025-10-09T13:35:00,2,882.0
IO000196,U0271,P0150,2026-02-26T17:49:00,2,392.0
IO000197,U0357,P0342,2026-01-15T13:26:00,1,1185.0
IO000198,U0316,P0001,2025-11-14T21:56:00,2,135.0
IO000199,U0231,P0324,2025-10-08T17:11:00,1,197.0
IO000200,U0213,P0374,2025-10-15T18:04:00,3,42.0
IO000201,U0115,P0426,2026-02-02T16:54:00,2,465.0
IO000202,U0374,P0028,2025-11-07T08:23:00,2,103.0
IO000203,U0341,P0098,2026-03-02T16:15:00,2,987.0
IO000204,U0228,P0265,2026-01-19T09:13:00,3,411.0
IO000205,U0388,P0474,2025-11-03T14:51:00,3,128.0
IO000206,U0205,P0471,2025-10-17T21:49:00,2,800.0
IO000207,U0428,P0117,2026-02-07T15:41:00,2,246.0
IO000208,U0443,P0141,2026-02-17T21:22:00,3,720.0
IO000209,U0361,P0123,2026-02-08T11:51:00,3,181.0
IO000210,U0020,P0114,2026-02-03T19:04:00,1,1275.0
IO000211,U0450,P0361,2025-12-06T15:30:00,3,738.0
IO000212,U0259,P0355,2026-01-06T09:54:00,3,450.0
IO000213,U0149,P0079,2026-03-24T12:43:00,1,166.0
IO000214,U0083,P0141,2025-11-03T19:26:00,1,1080.0
IO000215,U0099,P0014,2025-12-02T10:24:00,1,556.0
IO000216,U0398,P0497,2026-01-30T09:34:00,2,462.0
IO000217,U0430,P0084,2026-02-02T20:26:00,3,748.0
IO000218,U0188,P0390,2025-11-08T15:05:00,3,872.0
IO000219,U0317,P0264,2026-03-07T21:09:00,1,328.0
IO000220,U0189,P0059,2026-02-22T11:03:00,2,407.0
IO000221,U0063,P0239,2026-02-21T18:30:00,2,159.0
IO000222,U0077,P0458,2025-11-12T09:02:00,2,233.0
IO000223,U0475,P0174,2026-03-01T14:21:00,2,337.0
IO000224,U0075,P0329,2026-02-17T15:30:00,3,204.0
IO000225,U0157,P0475,2025-10-07T12:37:00,1,214.0
IO000226,U0197,P0100,2026-03-05T21:56:00,2,221.0
IO000227,U0195,P0434,2026-01-08T11:08:00,2,525.0
IO000228,U0264,P0091,2026-03-05T20:06:00,3,396.0
IO000229,U0468,P0073,2025-10-18T08:35:00,3,286.0
IO000230,U0348,P0386,2025-12-20T11:54:00,1,1050.0
IO000231,U0146,P0041,2026-01-17T16:21:00,1,196.0
IO000232,U0460,P0011,2026-03-08T21:40:00,2,604.0
IO000233,U0416,P0486,2025-11-29T19:46:00,3,30.0
IO000234,U0160,P0074,2025-10-29T21:37:00,1,33.0
IO000235,U0166,P0160,2026-02-03T18:11:00,2,20.0
IO000236,U0306,P0008,2025-10-04T15:36:00,3,270.0
IO000237,U0375,P0162,2026-03-02T13:03:00,3,1323.0
IO000238,U0434,P0495,2026-03-03T13:21:00,1,830.0
IO000239,U0317,P0045,2025-12-12T20:58:00,1,192.0
IO000240,U0063,P0373,2025-11-13T16:18:00,2,1062.0
IO000241,U0170,P0358,2026-03-25T20:24:00,2,430.0
IO000242,U0416,P0260,2025-11-20T11:58:00,3,1134.0
IO000243,U0244,P0290,2026-01-21T18:50:00,2,34.0
IO000244,U0375,P0433,2026-01-31T08:59:00,3,998.0
IO000245,U0156,P0323,2025-10-20T15:00:00,2,295.0
IO000246,U0189,P0042,2025-11-16T13:10:00,2,840.0
IO000247,U0302,P0177,2025-12-25T08:50:00,1,513.0
IO000248,U0184,P0161,2025-12-31T08:06:00,1,348.0
IO000249,U0343,P0431,2025-12-16T13:13:00,2,128.0
IO000250,U0401,P0476,2025-11-21T20:35:00,3,572.0
IO000251,U0153,P0066,2025-10-25T11:36:00,2,339.0
IO000252,U0017,P0093,2025-11-27T13:15:00,3,364.0
IO000253,U0015,P0051,2025-12-14T18:44:00,2,54.0
IO000254,U0425,P0141,2025-11-09T09:10:00,2,360.0
IO000255,U0159,P0231,2025-11-16T17:47:00,3,120.0
IO000256,U0244,P0018,2025-12-04T20:15:00,2,540.0
IO000257,U0438,P0210,2026-02-22T15:56:00,3,814.0
IO000258,U0406,P0366,2025-12-27T09:37:00,1,73.0
IO000259,U0288,P0317,2026-03-03T09:04:00,3,804.0
IO000260,U0192,P0277,2026-01-17T09:43:00,1,143.0
IO000261,U0403,P0248,2026-02-18T18:22:00,1,213.0
IO000262,U0233,P0022,2025-11-07T21:17:00,3,534.0
IO000263,U0423,P0105,2026-01-15T09:17:00,2,178.0
IO000264,U0398,P0460,2025-11-02T10:03:00,3,886.0
IO000265,U0131,P0496,2025-11-04T15:01:00,3,99.0
IO000266,U0011,P0070,2026-02-24T11:03:00,2,140.0
IO000267,U0051,P0066,2026-02-25T20:56:00,3,339.0
IO000268,U0384,P0383,2026-01-14T09:57:00,3,732.0
IO000269,U0179,P0348,2026-02-15T20:58:00,2,250.0
IO000270,U0447,P0141,2025-12-16T14:15:00,1,720.0
IO000271,U0206,P0170,2026-03-25T08:20:00,3,140.0
IO000272,U0363,P0339,2026-02-09T13:42:00,3,720.0
IO000273,U0476,P0294,2025-12-29T18:11:00,1,795.0
IO000274,U0401,P0328,2025-12-15T14:42:00,1,381.0
IO000275,U0093,P0003,2026-02-04T13:47:00,2,1485.0
IO000276,U0350,P0438,2026-03-18T10:18:00,1,404.0
IO000277,U0475,P0184,2026-02-17T20:53:00,2,332.0
IO000278,U0445,P0296,2026-01-12T10:53:00,3,774.0
IO000279,U0442,P0444,2026-03-28T19:10:00,3,966.0
IO000280,U0452,P0116,2026-03-28T08:24:00,3,948.0
IO000281,U0377,P0485,2026-03-05T16:29:00,2,570.0
IO000282,U0204,P0083,2025-10-11T17:46:00,1,106.0
IO000283,U0380,P0435,2026-01-25T08:11:00,2,1173.0
IO000284,U0036,P0130,2026-03-02T19:57:00,3,66.0
IO000285,U0145,P0185,2025-11-19T12:07:00,2,830.0
IO000286,U0458,P0271,2026-03-09T09:52:00,3,501.0
IO000287,U0066,P0429,2025-12-24T11:23:00,2,315.0
IO000288,U0025,P0135,2025-12-16T13:54:00,1,1245.0
IO000289,U0451,P0144,2025-12-12T16:00:00,1,651.0
IO000290,U0278,P0167,2026-01-04T10:46:00,2,65.0
IO000291,U0053,P0450,2025-12-16T12:52:00,3,656.0
IO000292,U0308,P0013,2026-01-16T10:52:00,3,576.0
IO000293,U0452,P0270,2025-11-21T17:41:00,1,814.0
IO000294,U0423,P0086,2025-10-25T18:49:00,1,359.0
IO000295,U0280,P0490,2025-11-26T19:34:00,1,61.0
IO000296,U0141,P0473,2026-01-28T12:34:00,3,53.0
IO000297,U0157,P0069,2026-02-23T14:35:00,2,801.0
IO000298,U0180,P0396,2026-02-09T09:33:00,3,854.0
IO000299,U0456,P0395,2025-11-19T10:52:00,1,978.0
IO000300,U0386,P0129,2025-11-02T20:26:00,3,422.0
IO000301,U0185,P0342,2025-10-01T21:46:00,1,395.0
IO000302,U0287,P0061,2026-02-05T19:49:00,3,966.0
IO000303,U0344,P0231,2025-12-07T15:00:00,1,60.0
IO000304,U0200,P0135,2025-10-27T19:26:00,3,830.0
IO000305,U0028,P0058,2025-11-20T17:44:00,3,264.0
IO000306,U0434,P0201,2026-02-08T13:58:00,2,436.0
IO000307,U0416,P0374,2026-02-02T21:40:00,1,42.0
IO000308,U0461,P0020,2026-01-29T13:20:00,1,391.0
IO000309,U0011,P0101,2026-03-18T19:30:00,1,238.0
IO000310,U0498,P0417,2025-12-29T13:53:00,3,546.0
IO000311,U0497,P0247,2025-11-25T16:48:00,1,588.0
IO000312,U0350,P0360,2025-11-14T09:43:00,1,180.0
IO000313,U0018,P0225,2026-03-01T16:24:00,3,596.0
IO000314,U0219,P0162,2025-10-17T16:33:00,2,441.0
IO000315,U0460,P0124,2026-03-09T08:52:00,3,433.0
IO000316,U0304,P0099,2025-12-19T15:30:00,3,620.0
IO000317,U0482,P0078,2026-02-11T17:58:00,1,1350.0
IO000318,U0019,P0092,2026-01-02T13:30:00,1,202.0
IO000319,U0170,P0399,2025-11-12T08:51:00,3,788.0
IO000320,U0137,P0404,2026-01-13T20:24:00,2,843.0
IO000321,U0215,P0483,2025-10-14T20:14:00,2,1248.0
IO000322,U0406,P0193,2025-10-27T09:23:00,3,120.0
IO000323,U0358,P0457,2025-10-13T13:27:00,1,298.0
IO000324,U0235,P0034,2026-03-02T16:02:00,1,555.0
